time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-18 00:00:00+00:00,1,1,11.0,5.0
2022-09-19 00:00:00+00:00,14,3,23.0,11.0
2022-09-20 00:00:00+00:00,10,7,48.0,10.0
2022-09-21 00:00:00+00:00,3,3,12.0,3.0
2022-09-22 00:00:00+00:00,2,2,6.0,3.0
2022-09-23 00:00:00+00:00,4,3,22.0,6.0
2022-09-24 00:00:00+00:00,4,3,,
2022-09-25 00:00:00+00:00,1,1,1.0,1.0
2022-09-26 00:00:00+00:00,3,3,33.0,2.0
2022-09-27 00:00:00+00:00,1,1,26.0,3.0
2022-09-28 00:00:00+00:00,16,5,67.0,7.0
2022-09-29 00:00:00+00:00,25,5,102.0,6.0
2022-09-30 00:00:00+00:00,4,3,4.0,2.0
2022-10-01 00:00:00+00:00,1,1,1.0,1.0
