time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-12 00:00:00+00:00,324,84,4,4
2026-05-13 00:00:00+00:00,332,84,2,2
2026-05-14 00:00:00+00:00,490,123,1,1
2026-05-15 00:00:00+00:00,406,101,0,0
2026-05-16 00:00:00+00:00,61,17,0,0
2026-05-17 00:00:00+00:00,16,4,2,2
2026-05-18 00:00:00+00:00,604,149,0,0
2026-05-19 00:00:00+00:00,688,182,0,0
2026-05-20 00:00:00+00:00,486,119,0,0
2026-05-21 00:00:00+00:00,405,104,0,0
2026-05-22 00:00:00+00:00,416,101,0,0
2026-05-23 00:00:00+00:00,4,1,0,0
2026-05-24 00:00:00+00:00,32,6,0,0
2026-05-25 00:00:00+00:00,8,2,1,1
