url_path,views_total,views_unique
/ethyca/fideslang,53,31
/ethyca/fideslang/tree/main/tests,7,3
/ethyca/fideslang/tree/main/tests/data,7,3
/ethyca/fideslang/blob/main/data_files/data_qualifiers.csv,6,3
/ethyca/fideslang/tree/main/data_files,6,3
/ethyca/fideslang/blob/main/data_files/data_categories.csv,5,2
/ethyca/fideslang/tree/main/src,4,3
/ethyca/fideslang/tree/main/src/fideslang,4,3
/ethyca/fideslang/blob/main/data_files/data_subjects.csv,4,1
/ethyca/fideslang/blob/main/data_files/data_categories.json,3,3
