time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-07 00:00:00+00:00,2,2,7.0,3.0
2023-04-08 00:00:00+00:00,1,1,,
2023-04-09 00:00:00+00:00,2,2,,
2023-04-10 00:00:00+00:00,2,2,10.0,5.0
2023-04-11 00:00:00+00:00,3,3,17.0,5.0
2023-04-12 00:00:00+00:00,3,3,8.0,2.0
2023-04-13 00:00:00+00:00,1,1,14.0,8.0
2023-04-14 00:00:00+00:00,2,2,13.0,3.0
2023-04-15 00:00:00+00:00,1,1,2.0,2.0
2023-04-16 00:00:00+00:00,1,1,7.0,2.0
2023-04-17 00:00:00+00:00,22,6,86.0,7.0
2023-04-18 00:00:00+00:00,10,7,59.0,7.0
2023-04-19 00:00:00+00:00,2,2,94.0,8.0
2023-04-20 00:00:00+00:00,1,1,71.0,7.0
