url_path,views_total,views_unique
/ethyca/fideslang,63,30
/ethyca/fideslang/tree/main/src/fideslang,28,9
/ethyca/fideslang/tree/main/src,17,9
/ethyca/fideslang/tree/main/data_files,9,3
/ethyca/fideslang/blob/main/src/fideslang/models.py,8,5
/ethyca/fideslang/blob/main/src/fideslang/__init__.py,6,3
/ethyca/fideslang/blob/main/src/fideslang/parse.py,6,3
/ethyca/fideslang/pull/89,6,3
/ethyca/fideslang/blob/main/src/fideslang/default_taxonomy.py,5,4
/ethyca/fideslang/blob/main/data_files/data_categories.json,5,3
