time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-11 00:00:00+00:00,33,7,69,8
2022-06-12 00:00:00+00:00,1,1,50,7
2022-06-13 00:00:00+00:00,105,8,367,15
2022-06-14 00:00:00+00:00,162,10,353,21
2022-06-15 00:00:00+00:00,114,12,356,17
2022-06-16 00:00:00+00:00,143,11,562,17
2022-06-17 00:00:00+00:00,103,9,420,19
2022-06-18 00:00:00+00:00,13,3,71,5
2022-06-19 00:00:00+00:00,17,3,76,7
2022-06-20 00:00:00+00:00,82,6,344,15
2022-06-21 00:00:00+00:00,181,10,419,15
2022-06-22 00:00:00+00:00,212,11,610,18
2022-06-23 00:00:00+00:00,189,15,451,20
2022-06-24 00:00:00+00:00,93,9,344,14
