time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1306,155,442,36
2025-02-28 00:00:00+00:00,2233,187,596,86
2025-03-01 00:00:00+00:00,491,61,159,14
2025-03-02 00:00:00+00:00,253,25,173,10
2025-03-03 00:00:00+00:00,923,111,375,42
2025-03-04 00:00:00+00:00,2549,331,381,68
2025-03-05 00:00:00+00:00,1400,199,250,61
2025-03-06 00:00:00+00:00,1390,175,200,42
2025-03-07 00:00:00+00:00,1302,160,158,40
2025-03-08 00:00:00+00:00,200,31,60,18
2025-03-09 00:00:00+00:00,345,40,101,14
2025-03-10 00:00:00+00:00,2007,161,507,63
2025-03-11 00:00:00+00:00,2213,177,666,52
2025-03-12 00:00:00+00:00,2895,214,495,56
