time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-18 00:00:00+00:00,616,20,601,47
2022-10-19 00:00:00+00:00,1061,14,701,41
2022-10-20 00:00:00+00:00,685,13,427,41
2022-10-21 00:00:00+00:00,684,17,426,36
2022-10-22 00:00:00+00:00,180,8,113,11
2022-10-23 00:00:00+00:00,51,4,33,8
2022-10-24 00:00:00+00:00,982,13,526,55
2022-10-25 00:00:00+00:00,908,19,432,51
2022-10-26 00:00:00+00:00,689,14,438,47
2022-10-27 00:00:00+00:00,1449,29,372,43
2022-10-28 00:00:00+00:00,1871,24,517,43
2022-10-29 00:00:00+00:00,1144,8,107,18
2022-10-30 00:00:00+00:00,1376,8,213,18
2022-10-31 00:00:00+00:00,1793,24,756,37
