time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-24 00:00:00+00:00,1820,13,721,44
2023-02-25 00:00:00+00:00,266,6,294,20
2023-02-26 00:00:00+00:00,46,8,74,20
2023-02-27 00:00:00+00:00,2009,18,854,50
2023-02-28 00:00:00+00:00,2273,18,947,58
2023-03-01 00:00:00+00:00,1451,14,736,39
2023-03-02 00:00:00+00:00,873,22,643,41
2023-03-03 00:00:00+00:00,1516,27,782,62
2023-03-04 00:00:00+00:00,55,5,74,12
2023-03-05 00:00:00+00:00,169,7,90,9
2023-03-06 00:00:00+00:00,2083,22,783,44
2023-03-07 00:00:00+00:00,1689,29,1133,44
2023-03-08 00:00:00+00:00,415,15,439,39
2023-03-09 00:00:00+00:00,487,10,563,41
