time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-18 00:00:00+00:00,60.0,11.0,291,38
2022-03-19 00:00:00+00:00,2.0,2.0,27,9
2022-03-20 00:00:00+00:00,,,13,7
2022-03-21 00:00:00+00:00,46.0,7.0,195,28
2022-03-22 00:00:00+00:00,43.0,10.0,251,33
2022-03-23 00:00:00+00:00,123.0,8.0,228,28
2022-03-24 00:00:00+00:00,31.0,3.0,172,26
2022-03-25 00:00:00+00:00,81.0,10.0,350,27
2022-03-26 00:00:00+00:00,10.0,3.0,91,8
2022-03-27 00:00:00+00:00,8.0,2.0,53,8
2022-03-28 00:00:00+00:00,57.0,17.0,319,36
2022-03-29 00:00:00+00:00,92.0,14.0,381,29
2022-03-30 00:00:00+00:00,159.0,13.0,405,42
2022-03-31 00:00:00+00:00,90.0,9.0,308,32
