time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-30 00:00:00+00:00,607,54,166,27
2025-08-31 00:00:00+00:00,330,56,91,18
2025-09-01 00:00:00+00:00,641,63,193,26
2025-09-02 00:00:00+00:00,2947,187,975,85
2025-09-03 00:00:00+00:00,2783,227,733,60
2025-09-04 00:00:00+00:00,3278,306,886,77
2025-09-05 00:00:00+00:00,741,146,139,35
2025-09-06 00:00:00+00:00,107,28,118,87
2025-09-07 00:00:00+00:00,53,23,46,30
2025-09-08 00:00:00+00:00,1250,142,388,53
2025-09-09 00:00:00+00:00,3311,327,665,108
2025-09-10 00:00:00+00:00,4312,431,984,138
2025-09-11 00:00:00+00:00,3476,370,704,78
2025-09-12 00:00:00+00:00,2195,371,274,53
